"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"9:26:32.2560415","netplwiz.exe","4640","Thread Exit","","SUCCESS","Thread ID: 4048, User Time: 0.0000000, Kernel Time: 0.0000000"
"9:26:32.2563807","netplwiz.exe","4640","Thread Exit","","SUCCESS","Thread ID: 3952, User Time: 0.0000000, Kernel Time: 0.0000000"
"9:26:33.9137450","netplwiz.exe","4640","ReadFile","C:\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.18362.535_none_e6c3b34713100821\comctl32.dll","SUCCESS","Offset: 1,197,056, Length: 4,096, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"9:26:33.9143477","netplwiz.exe","4640","ReadFile","C:\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.18362.535_none_e6c3b34713100821\comctl32.dll","SUCCESS","Offset: 2,116,608, Length: 8,192, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"9:26:33.9148619","netplwiz.exe","4640","ReadFile","C:\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.18362.535_none_e6c3b34713100821\comctl32.dll","SUCCESS","Offset: 1,197,056, Length: 32,768, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"9:26:41.1375080","netplwiz.exe","4640","ReadFile","C:\Windows\System32\win32kfull.sys","SUCCESS","Offset: 2,356,224, Length: 32,768, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"9:26:44.3168405","netplwiz.exe","4640","RegOpenKey","HKCU","SUCCESS","Desired Access: Read"
"9:26:44.3169024","netplwiz.exe","4640","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:26:44.3169441","netplwiz.exe","4640","RegOpenKey","HKCU\Keyboard Layout\Toggle","SUCCESS","Desired Access: Read"
"9:26:44.3169959","netplwiz.exe","4640","RegCloseKey","HKCU","SUCCESS",""
"9:26:44.3170381","netplwiz.exe","4640","RegQueryValue","HKCU\Keyboard Layout\Toggle\Language Hotkey","NAME NOT FOUND","Length: 16"
"9:26:44.3170819","netplwiz.exe","4640","RegQueryValue","HKCU\Keyboard Layout\Toggle\Hotkey","NAME NOT FOUND","Length: 16"
"9:26:44.3171277","netplwiz.exe","4640","RegQueryValue","HKCU\Keyboard Layout\Toggle\Layout Hotkey","NAME NOT FOUND","Length: 16"
"9:26:44.3171883","netplwiz.exe","4640","RegCloseKey","HKCU\Keyboard Layout\Toggle","SUCCESS",""
"9:26:44.3172592","netplwiz.exe","4640","RegQueryValue","HKLM\System\CurrentControlSet\Control\Notifications\418A073AA3BC8075","BUFFER TOO SMALL","Length: 0"
"9:26:44.3173594","netplwiz.exe","4640","RegQueryValue","HKLM\System\CurrentControlSet\Control\Notifications\418A073AA3BC8075","SUCCESS","Type: REG_BINARY, Length: 364, Data: 01 00 04 80 00 00 00 00 00 00 00 00 00 00 00 00"
"9:26:44.3175908","netplwiz.exe","4640","RegQueryValue","HKLM\System\CurrentControlSet\Control\Notifications\418A073AA3BC8075","BUFFER TOO SMALL","Length: 0"
"9:26:44.3176661","netplwiz.exe","4640","RegQueryValue","HKLM\System\CurrentControlSet\Control\Notifications\418A073AA3BC8075","SUCCESS","Type: REG_BINARY, Length: 364, Data: 01 00 04 80 00 00 00 00 00 00 00 00 00 00 00 00"
"9:26:53.7035400","netplwiz.exe","4640","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:26:53.7035860","netplwiz.exe","4640","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\WinLogon","SUCCESS","Desired Access: Write"
"9:26:53.7036466","netplwiz.exe","4640","RegSetValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\AutoAdminLogon","SUCCESS","Type: REG_SZ, Length: 4, Data: 0"
"9:26:53.7038017","netplwiz.exe","4640","RegDeleteValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\DefaultPassword","SUCCESS",""
"9:26:53.7041270","netplwiz.exe","4640","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon","SUCCESS",""
"9:26:53.7109531","netplwiz.exe","4640","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:26:53.7109947","netplwiz.exe","4640","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\WinLogon","SUCCESS","Desired Access: Write"
"9:26:53.7110558","netplwiz.exe","4640","RegSetValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\DefaultUserName","SUCCESS","Type: REG_SZ, Length: 12, Data: bopin"
"9:26:53.7112514","netplwiz.exe","4640","RegSetValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\DefaultDomainName","SUCCESS","Type: REG_SZ, Length: 32, Data: DESKTOP-7SRLU2P"
"9:26:53.7115349","netplwiz.exe","4640","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon","SUCCESS",""
"9:26:53.7115745","netplwiz.exe","4640","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:26:53.7116908","netplwiz.exe","4640","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\WinLogon","SUCCESS","Desired Access: Write"
"9:26:53.7117411","netplwiz.exe","4640","RegSetValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\AutoAdminLogon","SUCCESS","Type: REG_SZ, Length: 4, Data: 1"
"9:26:53.7119084","netplwiz.exe","4640","RegDeleteValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\DefaultPassword","NAME NOT FOUND",""
"9:26:53.7119764","netplwiz.exe","4640","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon","SUCCESS",""
"9:26:53.7687912","netplwiz.exe","4640","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:26:53.7688301","netplwiz.exe","4640","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon","SUCCESS","Desired Access: Read"
"9:26:53.7688764","netplwiz.exe","4640","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\DisableCAD","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"9:26:53.7689205","netplwiz.exe","4640","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon","SUCCESS",""
"9:26:53.7689565","netplwiz.exe","4640","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:26:53.7690048","netplwiz.exe","4640","RegOpenKey","HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\System","SUCCESS","Desired Access: Read"
"9:26:53.7691082","netplwiz.exe","4640","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\DisableCAD","NAME NOT FOUND","Length: 16"
"9:26:53.7691933","netplwiz.exe","4640","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","SUCCESS",""
"9:27:46.1518673","netplwiz.exe","4640","Thread Exit","","SUCCESS","Thread ID: 7048, User Time: 0.0000000, Kernel Time: 0.0000000"
"9:27:53.7172191","netplwiz.exe","4640","Thread Create","","SUCCESS","Thread ID: 5928"
